breakout_window,atr_buffer,atr_stop_multiple,trend_ema_period,volume_spike_multiplier,final_equity,total_return_pct,max_drawdown_pct,total_trades,win_rate_pct
40,0.6,1.5,80,3.5,36029.48,260.29,22.84,53,39.62
40,0.6,1.5,100,2.5,26849.85,168.50,20.17,44,36.36
40,0.6,1.5,100,3.0,38791.16,287.91,20.17,47,40.43
40,0.6,1.5,100,3.5,36029.48,260.29,22.84,53,39.62
60,0.4,1.0,60,2.5,25030.52,150.31,15.54,50,50.00
60,0.4,1.0,60,3.0,33098.30,230.98,15.54,54,53.70
60,0.4,1.0,60,3.5,33143.44,231.43,14.33,62,50.00
60,0.4,1.0,80,2.5,25030.52,150.31,15.54,50,50.00
60,0.4,1.0,80,3.0,33098.30,230.98,15.54,54,53.70
60,0.4,1.0,80,3.5,33143.44,231.43,14.33,62,50.00
60,0.4,1.0,100,2.5,25030.52,150.31,15.54,50,50.00
60,0.4,1.0,100,3.0,33098.30,230.98,15.54,54,53.70
60,0.4,1.0,100,3.5,33143.44,231.43,14.33,62,50.00
60,0.4,1.2,60,2.5,22784.59,127.85,18.86,47,40.43
60,0.4,1.2,60,3.0,29686.12,196.86,18.81,51,45.10
60,0.4,1.2,60,3.5,28730.63,187.31,21.82,59,42.37
60,0.4,1.2,80,2.5,22784.59,127.85,18.86,47,40.43
60,0.4,1.2,80,3.0,29686.12,196.86,18.81,51,45.10
60,0.4,1.2,80,3.5,28730.63,187.31,21.82,59,42.37
60,0.4,1.2,100,2.5,22784.59,127.85,18.86,47,40.43
60,0.4,1.2,100,3.0,29686.12,196.86,18.81,51,45.10
60,0.4,1.2,100,3.5,28730.63,187.31,21.82,59,42.37
60,0.4,1.5,60,2.5,25483.85,154.84,23.20,44,36.36
60,0.4,1.5,60,3.0,33234.37,232.34,23.20,48,39.58
60,0.4,1.5,60,3.5,29071.16,190.71,25.77,56,37.50
60,0.4,1.5,80,2.5,25483.85,154.84,23.20,44,36.36
60,0.4,1.5,80,3.0,33234.37,232.34,23.20,48,39.58
60,0.4,1.5,80,3.5,29071.16,190.71,25.77,56,37.50
60,0.4,1.5,100,2.5,25483.85,154.84,23.20,44,36.36
60,0.4,1.5,100,3.0,33234.37,232.34,23.20,48,39.58
60,0.4,1.5,100,3.5,29071.16,190.71,25.77,56,37.50
60,0.5,1.0,60,2.5,28016.04,180.16,13.32,43,55.81
60,0.5,1.0,60,3.0,39240.18,292.40,8.58,46,60.87
60,0.5,1.0,60,3.5,38964.06,289.64,13.67,53,56.60
60,0.5,1.0,80,2.5,28016.04,180.16,13.32,43,55.81
60,0.5,1.0,80,3.0,39240.18,292.40,8.58,46,60.87
60,0.5,1.0,80,3.5,38964.06,289.64,13.67,53,56.60
60,0.5,1.0,100,2.5,28016.04,180.16,13.32,43,55.81
60,0.5,1.0,100,3.0,39240.18,292.40,8.58,46,60.87
60,0.5,1.0,100,3.5,38964.06,289.64,13.67,53,56.60
60,0.5,1.2,60,2.5,25243.99,152.44,18.26,40,45.00
60,0.5,1.2,60,3.0,34838.43,248.38,13.61,43,51.16
60,0.5,1.2,60,3.5,33411.16,234.11,17.68,50,46.00
